symbol,name,pe,dividend_yield,roe,market_cap_hkd
0700.HK,Tencent Holdings,18.5,0.004,0.18,3500000000000
0005.HK,HSBC Holdings,8.8,0.065,0.12,1200000000000
0939.HK,China Construction Bank,4.6,0.082,0.11,1500000000000
3988.HK,Bank of China,5.2,0.075,0.10,1200000000000
0388.HK,Hong Kong Exchanges and Clearing,34.0,0.029,0.20,380000000000
0011.HK,Hang Seng Bank,11.2,0.055,0.09,180000000000
0003.HK,Hong Kong and China Gas,18.0,0.048,0.11,160000000000
0883.HK,CNOOC,7.1,0.067,0.16,900000000000
0941.HK,China Mobile,10.5,0.064,0.10,1500000000000
2318.HK,Ping An Insurance,6.8,0.061,0.12,650000000000
