symbol,name,pe,dividend_yield,roe,market_cap_hkd,theme
0883.HK,CNOOC,7.1,0.067,0.16,900000000000,Initial Watchlist
0005.HK,HSBC Holdings,8.8,0.065,0.12,1200000000000,Initial Watchlist
2318.HK,Ping An Insurance,6.8,0.061,0.12,650000000000,Initial Watchlist
0939.HK,China Construction Bank,4.6,0.082,0.11,1500000000000,Initial Watchlist
0003.HK,Hong Kong and China Gas,18.0,0.048,0.11,160000000000,Initial Watchlist
NVDA,NVIDIA,,,,,Nasdaq Top 10
AAPL,Apple,,,,,Nasdaq Top 10
MSFT,Microsoft,,,,,Nasdaq Top 10
AMZN,Amazon,,,,,Nasdaq Top 10
TSLA,Tesla,,,,,Nasdaq Top 10
META,Meta Platforms,,,,,Nasdaq Top 10
WMT,Walmart,,,,,Nasdaq Top 10
GOOGL,Alphabet Class A,,,,,Nasdaq Top 10
GOOG,Alphabet Class C,,,,,Nasdaq Top 10
AVGO,Broadcom,,,,,Nasdaq Top 10
NEE,NextEra Energy,,,,,Power
CEG,Constellation Energy,,,,,Power
SO,Southern Company,,,,,Power
DUK,Duke Energy,,,,,Power
AEP,American Electric Power,,,,,Power
EXC,Exelon,,,,,Power
PEG,Public Service Enterprise Group,,,,,Power
EA,Electronic Arts,,,,,Game
TTWO,Take-Two Interactive,,,,,Game
RBLX,Roblox,,,,,Game
NTES,NetEase ADR,,,,,Game
TCEHY,Tencent OTC,,,,,Game
SONY,Sony Group ADR,,,,,Game
NFLX,Netflix,,,,,Game/Media
FLNC,Fluence Energy,,,,,Energy Storage
ENPH,Enphase Energy,,,,,Energy Storage
SEDG,SolarEdge Technologies,,,,,Energy Storage
AES,AES Corporation,,,,,Energy Storage
ALB,Albemarle,,,,,Energy Storage
PLTR,Palantir Technologies,,,,,AI Defense
LMT,Lockheed Martin,,,,,AI Defense
RTX,RTX Corporation,,,,,AI Defense
NOC,Northrop Grumman,,,,,AI Defense
GD,General Dynamics,,,,,AI Defense
LHX,L3Harris Technologies,,,,,AI Defense
AVAV,AeroVironment,,,,,AI Defense
KTOS,Kratos Defense & Security,,,,,AI Defense
601126.SS,四方继保,,,,,Requested
0700.HK,腾讯控股,,,,,Requested
000592.SZ,平潭发展,,,,,Requested
